Category,name,clean_name,approvaldt,origin,diameter,center_lon,center_lat,type,code,approval,min_lon,max_lon,min_lat,max_lat,ethnicity,continent,quad_name,quad_code,link
Crater,Scheele,Scheele,1/1/1976,Carl Wilhelm; Swedish chemist (1742-1786).,4.6907,322.1534419,-9.448492202,"""Crater, craters""",AA,Adopted by IAU,322.0750332,322.2318516,-9.525836945,-9.371147156,Sweden,Europe,Letronne,LAC-75,http://planetarynames.wr.usgs.gov/Feature/5363
Crater,Schaeberle,Schaeberle,1/1/1970,John Martin; American astronomer (1853-1924).,56.7406,117.7081027,-26.32516669,"""Crater, craters""",AA,Adopted by IAU,116.6642475,118.7519627,-27.26075745,-25.38957405,American,North America,Fermi,LAC-101,http://planetarynames.wr.usgs.gov/Feature/5361
Crater,Scheiner,Scheiner,1/1/1935,Christoph; German astronomer (1573-1650).,110.069,332.1908923,-60.35315252,"""Crater, craters""",AA,Adopted by IAU,328.523859,335.8583889,-62.16859627,-58.53768349,Germany,Europe,Schiller,LAC-125,http://planetarynames.wr.usgs.gov/Feature/5364
Crater,Schiaparelli,Schiaparelli,1/1/1935,Giovanni Virginio; Italian astronomer (1835-1910).,24.1998,301.1792759,23.37877504,"""Crater, craters""",AA,Adopted by IAU,300.7452755,301.6145878,22.98003578,23.77809715,Italy,Europe,Seleucus,LAC-38,http://planetarynames.wr.usgs.gov/Feature/5365
Crater,Schiller,Schiller,1/1/1935,Julius; German astronomer (unkn-fl. 1627).,179.362,320.2160181,-51.72438572,"""Crater, craters""",AA,Adopted by IAU,317.1624966,323.2347393,-54.24064827,-49.22488213,Germany,Europe,Schiller,LAC-125,http://planetarynames.wr.usgs.gov/Feature/5369
Crater,Schjellerup,Schjellerup,1/1/1970,Hans Carl; Danish astronomer (1827-1887).,62.8232,158.2446527,69.03778725,"""Crater, craters""",AA,Adopted by IAU,155.3559437,161.1334248,68.00203896,70.07354546,Denmark,Europe,Karpinskij,LAC-7,http://planetarynames.wr.usgs.gov/Feature/5370
Crater,Schlesinger,Schlesinger,1/1/1970,Frank; American astronomer (1871-1943).,97.2758,221.0192761,47.12091886,"""Crater, craters""",AA,Adopted by IAU,218.6885738,223.3957348,45.51981163,48.72770119,American,North America,Fowler,LAC-34,http://planetarynames.wr.usgs.gov/Feature/5371
Crater,Schliemann,Schliemann,1/1/1970,Heinrich; German archaeologist (1822-1890).,77.4013,155.1232382,-1.990022532,"""Crater, craters""",AA,Adopted by IAU,153.8460407,156.400423,-3.266389847,-0.713655472,Germany,Europe,Keeler,LAC-85,http://planetarynames.wr.usgs.gov/Feature/5372
Crater,Schlüter,Schluter,1/1/1964,Heinrich; German astronomer (1815-1844).,87.5521,276.6110498,-5.933497812,"""Crater, craters""",AA,Adopted by IAU,275.159647,278.0623646,-7.37723732,-4.489757538,Germany,Europe,Riccioli,LAC-73,http://planetarynames.wr.usgs.gov/Feature/5373
Crater,Schmidt,Schmidt,1/1/1935,Johann Friedrich Julius; German astronomer (1825-1884); Bernhard Voldemar; German optician (1879-1935); Otto Yulyevich; Soviet astronomer (1891-1956).,11.1304,18.7806374,0.956375443,"""Crater, craters""",AA,Adopted by IAU,18.59708595,18.96418953,0.772848129,1.13990593,Germany,Europe,Julius Caesar,LAC-60,http://planetarynames.wr.usgs.gov/Feature/5374
Crater,Schneller,Schneller,1/1/1970,"""Schneller, Herbert; German astronomer (1901-1967).""",56.873,196.2730005,41.33525723,"""Crater, craters""",AA,Adopted by IAU,195.0242977,197.5217075,40.39748192,42.27303505,Germany,Europe,Schneller,LAC-33,http://planetarynames.wr.usgs.gov/Feature/5376
Crater,Schröter,Schroter,1/1/1935,Johann Hieronymus; German astronomer (1745-1816).,36.6671,353.0163451,2.738438034,"""Crater, craters""",AA,Adopted by IAU,352.411047,353.6216488,2.133825302,3.343050003,Germany,Europe,Mare Vaporum,LAC-59,http://planetarynames.wr.usgs.gov/Feature/5382
Crater,Sinas,Sinas,1/1/1935,Simon; Greek benefactor (1810-1876).,11.6732,31.60009068,8.851135313,"""Crater, craters""",AA,Adopted by IAU,31.40529442,31.79488945,8.658655167,9.043615341,Greek,Europe,Taruntius,LAC-61,http://planetarynames.wr.usgs.gov/Feature/5552
Crater,Schrödinger,Schrodinger,1/1/1970,"""Schrödinger, Erwin; Austrian physicist; Nobel laureate (1887-1961).""",316.388,132.9252318,-74.73255738,"""Crater, craters""",AA,Adopted by IAU,112.3290043,153.4437046,-79.95043182,-69.51789093,Austria,Europe,Schrödinger,LAC-140,http://planetarynames.wr.usgs.gov/Feature/5381
Crater,Toscanelli,Toscanelli,1/1/1976,"""Paolo Dal Pozza; Italian doctor, cartographer (1397-1482).""",7.05015,312.3864197,27.95909421,"""Crater, craters""",AA,Adopted by IAU,312.2548122,312.5180302,27.84284401,28.07534599,Italy,Europe,Aristarchus,LAC-39,http://planetarynames.wr.usgs.gov/Feature/6069
