Grid Points_Entries,Latitude,Longitude,Altitude
63,25.269313017214444,153.16063895629907,-2325.9566226350494
64,25.269313017214444,153.1706389562991,-2311.621677229257
65,25.269313017214444,153.18063895629908,-2297.2867373877666
66,25.279313017214445,153.08063895629905,-2421.379094517499
67,25.279313017214445,153.09063895629905,-2410.6162517740117
68,25.279313017214445,153.10063895629906,-2396.266458815133
69,25.279313017214445,153.11063895629906,-2381.0523004276065
70,25.279313017214445,153.12063895629908,-2365.8380394312017
71,25.279313017214445,153.13063895629907,-2350.6237804082552
72,25.279313017214445,153.14063895629906,-2335.409655386866
73,25.279313017214445,153.15063895629908,-2320.1954081942595
74,25.279313017214445,153.16063895629907,-2304.9810952143444
75,25.279313017214445,153.1706389562991,-2289.766983461677
76,25.279313017214445,153.18063895629908,-2274.552801091732
77,25.289313017214443,153.08063895629905,-2405.8029619705308
78,25.289313017214443,153.09063895629905,-2395.529702828043
79,25.289313017214443,153.10063895629906,-2380.566414754889
80,25.289313017214443,153.11063895629906,-2364.4730666009227
81,25.289313017214443,153.12063895629908,-2348.379461155224
82,25.289313017214443,153.13063895629907,-2332.285996049067
83,25.289313017214443,153.14063895629906,-2316.192608980284
84,25.289313017214443,153.15063895629908,-2300.0990638507565
85,25.289313017214443,153.16063895629907,-2284.0055737759344
86,25.289313017214443,153.1706389562991,-2267.9122311025553
87,25.289313017214443,153.18063895629908,-2251.8186365927636
88,25.299313017214445,153.08063895629905,-2390.2268269428023
89,25.299313017214445,153.09063895629905,-2380.4432120982488
90,25.299313017214445,153.10063895629906,-2364.8663923971017
91,25.299313017214445,153.11063895629906,-2347.8936322236505
92,25.299313017214445,153.12063895629908,-2330.920869083742
93,25.299313017214445,153.13063895629907,-2313.948192121945
94,25.299313017214445,153.14063895629906,-2296.9753708995336
95,25.299313017214445,153.15063895629908,-2280.002661905819
96,25.299313017214445,153.16063895629907,-2263.029944405842
97,25.299313017214445,153.1706389562991,-2246.057193001756
98,25.299313017214445,153.18063895629908,-2229.0844527754625
99,25.309313017214443,153.08063895629905,-2374.6506242168048
100,25.309313017214443,153.09063895629905,-2365.356537118049
101,25.309313017214443,153.10063895629906,-2349.1663144767276
102,25.309313017214443,153.11063895629906,-2331.3144675122076
103,25.309313017214443,153.12063895629908,-2313.4624418768212
104,25.309313017214443,153.13063895629907,-2295.6103648340895
105,25.309313017214443,153.14063895629906,-2277.758417861235
106,25.309313017214443,153.15063895629908,-2259.9065069063727
107,25.309313017214443,153.16063895629907,-2242.0543628458877
108,25.309313017214443,153.1706389562991,-2224.202500952441
109,25.309313017214443,153.18063895629908,-2206.350531894822
110,25.319313017214444,153.08063895629905,-2359.074446523704
111,25.319313017214444,153.09063895629905,-2350.270009831521
112,25.319313017214444,153.10063895629906,-2333.466351881516
113,25.319313017214444,153.11063895629906,-2314.735239008327
114,25.319313017214444,153.12063895629908,-2296.0038223360475
115,25.319313017214444,153.13063895629907,-2277.2726023818213
116,25.319313017214444,153.14063895629906,-2258.5414850823818
117,25.319313017214444,153.15063895629908,-2239.810099751087
118,25.319313017214444,153.16063895629907,-2221.078856845633
119,25.319313017214444,153.1706389562991,-2202.3477458332554
120,25.319313017214444,153.18063895629908,-2183.616422704596
