Grid Points_Entries,Latitude,Longitude,Altitude,Origin
47,70.55487469634951,-174.76952955178973,-2589.8215856590355,false
48,70.55487469634951,-174.7595295517897,-2589.2309802558057,false
49,70.55487469634951,-174.74952955178972,-2588.6345258797155,false
50,70.55487469634951,-174.7395295517897,-2588.03222253578,false
51,70.55487469634951,-174.7295295517897,-2587.4240702309426,false
52,70.55487469634951,-174.71952955178972,-2586.8100689709904,false
53,70.55487469634951,-174.7095295517897,-2586.1902187620954,false
54,70.55487469634951,-174.6995295517897,-2585.5645196104306,false
55,70.55487469634951,-174.6895295517897,-2582.791452285909,false
56,70.55487469634951,-174.6795295517897,-2580.4025025993014,false
57,70.56487469634952,-174.77952955178972,-2617.561759759234,false
58,70.56487469634952,-174.76952955178973,-2616.977018525523,false
59,70.56487469634952,-174.7595295517897,-2616.3864282209634,false
60,70.56487469634952,-174.74952955178972,-2615.7899888515344,false
61,70.56487469634952,-174.7395295517897,-2615.187700422829,false
62,70.56487469634952,-174.7295295517897,-2614.5795629415993,false
63,70.56487469634952,-174.71952955178972,-2613.965576413632,false
64,70.56487469634952,-174.7095295517897,-2613.345740845099,false
65,70.56487469634952,-174.6995295517897,-2612.72005624256,false
66,70.56487469634952,-174.6895295517897,-2611.7306274233606,false
67,70.56487469634952,-174.6795295517897,-2612.935070519362,false
68,70.57487469634953,-174.77952955178972,-2625.349724408736,false
69,70.57487469634953,-174.76952955178973,-2624.764976823153,false
70,70.57487469634953,-174.7595295517897,-2624.1743801406806,false
71,70.57487469634953,-174.74952955178972,-2623.577934366912,false
72,70.57487469634953,-174.7395295517897,-2622.975639507635,false
73,70.57487469634953,-174.7295295517897,-2622.3674955697934,false
74,70.57487469634953,-174.71952955178972,-2621.7535025587886,false
75,70.57487469634953,-174.7095295517897,-2621.133660481178,false
76,70.57487469634953,-174.6995295517897,-2619.736687891498,false
77,70.57487469634953,-174.6895295517897,-2619.297990450332,false
78,70.57487469634953,-174.6795295517897,-2620.502427260043,false
79,70.58487469634952,-174.77952955178972,-2625.8026715216497,false
80,70.58487469634952,-174.76952955178973,-2625.2179094737417,false
81,70.58487469634952,-174.7595295517897,-2624.6272983270155,false
82,70.58487469634952,-174.74952955178972,-2624.0308380876436,false
83,70.58487469634952,-174.7395295517897,-2623.428528761413,false
84,70.58487469634952,-174.7295295517897,-2622.8203703546887,false
85,70.58487469634952,-174.71952955178972,-2622.2063628736432,false
86,70.58487469634952,-174.7095295517897,-2620.81716080572,false
87,70.58487469634952,-174.6995295517897,-2617.858524272086,false
88,70.58487469634952,-174.6895295517897,-2617.419823425831,false
89,70.58487469634952,-174.6795295517897,-2618.624245716893,false
90,70.59487469634952,-174.77952955178972,-2626.202774707622,false
91,70.59487469634952,-174.76952955178973,-2625.6179982147496,false
92,70.59487469634952,-174.7595295517897,-2625.0273726219016,false
93,70.59487469634952,-174.74952955178972,-2624.430897935058,false
94,70.59487469634952,-174.7395295517897,-2623.828574160005,false
95,70.59487469634952,-174.7295295517897,-2623.2204013029145,false
96,70.59487469634952,-174.71952955178972,-2621.8389698607166,false
97,70.59487469634952,-174.7095295517897,-2618.886138249235,false
98,70.59487469634952,-174.6995295517897,-2615.9275154246902,false
99,70.59487469634952,-174.6895295517897,-2615.4888111858822,false
100,70.59487469634952,-174.6795295517897,-2616.6932189222252,false
101,70.60487469634951,-174.77952955178972,-2626.5500339298123,false
102,70.60487469634951,-174.76952955178973,-2625.9652430103,false
103,70.60487469634951,-174.7595295517897,-2625.3746029890754,false
104,70.60487469634951,-174.74952955178972,-2624.7781138725054,false
105,70.60487469634951,-174.7395295517897,-2624.1757756673405,false
106,70.60487469634951,-174.7295295517897,-2622.8021149534848,false
107,70.60487469634951,-174.71952955178972,-2619.8550883704374,false
108,70.60487469634951,-174.7095295517897,-2616.902270551373,false
109,70.60487469634951,-174.6995295517897,-2613.9436615254176,false
110,70.60487469634951,-174.6895295517897,-2613.5049539075603,false
111,70.60487469634951,-174.6795295517897,-2614.7093470529207,false
112,70.61487469634952,-174.77952955178972,-2626.844449156971,false
113,70.61487469634952,-174.76952955178973,-2626.259643827793,false
114,70.61487469634952,-174.7595295517897,-2625.6689893965167,false
115,70.61487469634952,-174.74952955178972,-2625.072485869124,false
116,70.61487469634952,-174.7395295517897,-2623.706595985457,false
117,70.61487469634952,-174.7295295517897,-2620.765374536934,false
118,70.61487469634952,-174.71952955178972,-2617.8183618294393,false
119,70.61487469634952,-174.7095295517897,-2614.8655578926787,false
120,70.61487469634952,-174.6995295517897,-2611.906962755585,false
121,70.61487469634952,-174.6895295517897,-2611.468251772567,false
122,70.61487469634952,-174.6795295517897,-2612.6726302897173,false
