Grid Points_Entries,Latitude,Longitude,Altitude,Origin
43,27.802788136571795,-162.92165970275246,5748.427093421729,false
44,27.802788136571795,-162.91165970275247,5766.218374445372,false
45,27.812788136571793,-163.0116597027525,5622.405874864967,false
46,27.812788136571793,-163.0016597027525,5622.006309764965,false
47,27.812788136571793,-162.9916597027525,5628.114366638628,false
48,27.812788136571793,-162.9816597027525,5645.985500269927,false
49,27.812788136571793,-162.97165970275248,5663.8567990437405,false
50,27.812788136571793,-162.96165970275248,5681.728058983367,false
51,27.812788136571793,-162.9516597027525,5699.599112754672,false
52,27.812788136571793,-162.94165970275247,5717.4704375023,false
53,27.812788136571793,-162.93165970275248,5735.341612939451,false
54,27.812788136571793,-162.92165970275246,5753.212906837002,false
55,27.812788136571793,-162.91165970275247,5771.084057980796,false
56,27.822788136571795,-163.0116597027525,5629.362708075984,false
57,27.822788136571795,-163.0016597027525,5627.2844291340325,false
58,27.822788136571795,-162.9916597027525,5632.340376520398,false
59,27.822788136571795,-162.9816597027525,5650.2916420330375,false
60,27.822788136571795,-162.97165970275248,5668.242862417483,false
61,27.822788136571795,-162.96165970275248,5686.1938503696865,false
62,27.822788136571795,-162.9516597027525,5704.144952402909,false
63,27.822788136571795,-162.94165970275247,5722.096071563621,false
64,27.822788136571795,-162.93165970275248,5740.0470606172275,false
65,27.822788136571795,-162.92165970275246,5757.998243294349,false
66,27.822788136571795,-162.91165970275247,5775.949601917765,false
67,27.832788136571796,-163.0116597027525,5636.319366163964,false
68,27.832788136571796,-163.0016597027525,5632.563136653707,false
69,27.832788136571796,-162.9916597027525,5636.566618024656,false
70,27.832788136571796,-162.9816597027525,5654.597728639594,false
71,27.832788136571796,-162.97165970275248,5672.6287809611995,false
72,27.832788136571796,-162.96165970275248,5690.659574683472,false
73,27.832788136571796,-162.9516597027525,5708.69084566998,false
74,27.832788136571796,-162.94165970275247,5726.721790232349,false
75,27.832788136571796,-162.93165970275248,5744.752950827438,false
76,27.832788136571796,-162.92165970275246,5762.783869001662,false
77,27.832788136571796,-162.91165970275247,5780.815097584742,false
78,27.842788136571794,-163.0116597027525,5643.276571335857,false
79,27.842788136571794,-163.0016597027525,5637.841323358409,false
80,27.842788136571794,-162.9916597027525,5640.792727135287,false
81,27.842788136571794,-162.9816597027525,5658.90369597137,false
82,27.842788136571794,-162.97165970275248,5677.014528947589,false
83,27.842788136571794,-162.96165970275248,5695.125581148865,false
84,27.842788136571794,-162.9516597027525,5713.236628934884,false
85,27.842788136571794,-162.94165970275247,5731.347510678364,false
86,27.842788136571794,-162.93165970275248,5749.458622867703,false
87,27.842788136571794,-162.92165970275246,5767.569640740705,false
88,27.842788136571794,-162.91165970275247,5785.680556278923,false
89,27.852788136571796,-163.0116597027525,5650.233352577254,false
90,27.852788136571796,-163.0016597027525,5643.119412252375,false
91,27.852788136571796,-162.9916597027525,5645.018731340684,false
92,27.852788136571796,-162.9816597027525,5663.20945866753,false
93,27.852788136571796,-162.97165970275248,5681.400595785254,false
94,27.852788136571796,-162.96165970275248,5699.59148199533,false
95,27.852788136571796,-162.9516597027525,5717.7824932198255,false
96,27.852788136571796,-162.94165970275247,5735.97349672717,false
97,27.852788136571796,-162.93165970275248,5754.16427797993,false
98,27.852788136571796,-162.92165970275246,5772.355367101182,false
99,27.852788136571796,-162.91165970275247,5790.546176700307,false
100,27.862788136571794,-163.0116597027525,5657.1902178979235,false
101,27.862788136571794,-163.0016597027525,5648.398096825839,false
102,27.862788136571794,-162.9916597027525,5649.244796897493,false
103,27.862788136571794,-162.9816597027525,5667.515598589312,false
104,27.862788136571794,-162.97165970275248,5685.786574263796,false
105,27.862788136571794,-162.96165970275248,5704.057292581548,false
106,27.862788136571794,-162.9516597027525,5722.328176139801,false
107,27.862788136571794,-162.94165970275247,5740.5990883353,false
