name,clean_name,approvaldt,origin,diameter,center_lon,center_lat,type,code,approval,min_lon,max_lon,min_lat,max_lat,ethnicity,continent,quad_name,quad_code,link
Lockyer H,Lockyer H,1/1/2006,Sir Joseph Norman; British astrophysicist (1836-1920).,31.7463,32.37966996,-44.47559569,Satellite Feature,SF,Adopted by IAU,31.59278679,33.06015968,-44.99528503,-43.94835091,Great Britain,Europe,Maurolycus,LAC-113,http://planetarynames.wr.usgs.gov/Feature/10886
Lodygin C,Lodygin C,1/1/2006,Aleksandr Nikolaevich; Russian inventor (1847-1923).,27.8653,214.8717165,-15.97266493,Satellite Feature,SF,Adopted by IAU,214.3936558,215.3497791,-16.43213654,-15.51319313,Russia,Europe,Vavilov,LAC-88,http://planetarynames.wr.usgs.gov/Feature/10888
Lodygin F,Lodygin F,1/1/2006,Aleksandr Nikolaevich; Russian inventor (1847-1923).,46.9837,216.5315319,-17.74811148,Satellite Feature,SF,Adopted by IAU,215.7181072,217.3449383,-18.5228405,-16.97338104,Russia,Europe,Lodygin,LAC-106,http://planetarynames.wr.usgs.gov/Feature/10889
Lodygin J,Lodygin J,1/1/2006,Aleksandr Nikolaevich; Russian inventor (1847-1923).,24.5168,214.4963483,-18.60162446,Satellite Feature,SF,Adopted by IAU,214.069788,214.9229031,-19.00588226,-18.19736481,Russia,Europe,Lodygin,LAC-106,http://planetarynames.wr.usgs.gov/Feature/10891
Lodygin L,Lodygin L,1/1/2006,Aleksandr Nikolaevich; Russian inventor (1847-1923).,22.4397,214.2784713,-22.66235447,Satellite Feature,SF,Adopted by IAU,213.8774624,214.6794834,-23.03236198,-22.29234695,Russia,Europe,Lodygin,LAC-106,http://planetarynames.wr.usgs.gov/Feature/10892
Marci C,Marci C,1/1/2006,Jan Marek Marci von Kronland; Czechoslovakian physicist (1595-1667).,25.2115,193.9571192,23.63475994,Satellite Feature,SF,Adopted by IAU,193.5033474,194.4108944,23.21904945,24.05047035,Czechoslovakia,Europe,Cockcroft,LAC-51,http://planetarynames.wr.usgs.gov/Feature/11138
Lodygin R,Lodygin R,1/1/2006,Aleksandr Nikolaevich; Russian inventor (1847-1923).,30.8807,210.4070169,-18.41156839,Satellite Feature,SF,Adopted by IAU,209.8703594,210.9436779,-18.9207592,-17.90237808,Russia,Europe,Lodygin,LAC-106,http://planetarynames.wr.usgs.gov/Feature/10894
Loewy A,Loewy A,1/1/2006,Maurice (Moritz); French astronomer (1833-1907).,6.65705,327.4568257,-22.31533166,Satellite Feature,SF,Adopted by IAU,327.3381557,327.5754986,-22.42509842,-22.20556259,France,Europe,Mare Humorum,LAC-93,http://planetarynames.wr.usgs.gov/Feature/10895
Loewy B,Loewy B,1/1/2006,Maurice (Moritz); French astronomer (1833-1907).,4.09426,327.0210046,-23.20802615,Satellite Feature,SF,Adopted by IAU,326.9475498,327.0944614,-23.27553558,-23.14051628,France,Europe,Mare Humorum,LAC-93,http://planetarynames.wr.usgs.gov/Feature/10896
Loewy G,Loewy G,1/1/2006,Maurice (Moritz); French astronomer (1833-1907).,4.48259,327.9186327,-23.07493999,Satellite Feature,SF,Adopted by IAU,327.8382854,327.9989834,-23.1488533,-23.00102615,France,Europe,Mare Humorum,LAC-93,http://planetarynames.wr.usgs.gov/Feature/10897
